City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Elizabeth,ZA,57.49,clear sky,-33.918,25.5701,39 On Nile Guest House
2,Hobart,AU,52.27,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
3,Hithadhoo,MV,81.95,few clouds,-0.6,73.0833,Scoop Guest House
4,Faanui,PF,76.23,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
5,Gaya,IN,81.97,overcast clouds,24.7833,85.0,Hotel Viraat Inn Gaya
6,Acarau,BR,78.4,scattered clouds,-2.8856,-40.12,castelo pizzaria
7,Cape Town,ZA,59.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
8,Arraial Do Cabo,BR,71.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
9,Kodiak,US,57.79,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
10,Bengkulu,ID,72.64,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
11,Rikitea,PF,75.7,broken clouds,-23.1203,-134.9692,People ThankYou
12,Sao Felix Do Xingu,BR,80.33,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
13,Punta Arenas,CL,35.71,clear sky,-53.15,-70.9167,Hotel Hain
14,Morehead,US,85.98,scattered clouds,37.2711,-87.1764,CCI Express Inn
15,Ushuaia,AR,33.46,light snow,-54.8,-68.3,Albatross Hotel
16,Gilgit,PK,80.51,broken clouds,35.9221,74.3087,Tourist Hamlet Gilgit
17,Tiksi,RU,50.29,scattered clouds,71.6872,128.8694,Arktika
18,Huanren,CN,72.77,broken clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
19,Clyde River,CA,43.03,broken clouds,70.4692,-68.5914,Qamaq Hotel
20,Gambela,ET,71.35,light rain,8.25,34.5833,Solomon Debebe Hotel
21,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
22,Baiyin,CN,70.3,scattered clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
23,Itarema,BR,78.4,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
25,Tasiilaq,GL,39.38,overcast clouds,65.6145,-37.6368,The Red House
26,Ballina,AU,62.02,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
27,Kapaa,US,81.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,Hermanus,ZA,50.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
30,Nandyal,IN,76.62,overcast clouds,15.4833,78.4833,Hotel Shobha
32,Slave Lake,CA,69.78,overcast clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
33,Bemidji,US,77.05,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
34,Te Anau,NZ,40.21,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
35,Kruisfontein,ZA,52.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
36,Sola,VU,80.22,clear sky,-13.8833,167.55,Leumerus Bungalows
37,Kenai,US,59.09,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
38,Rawlins,US,85.35,broken clouds,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
39,Meulaboh,ID,73.45,overcast clouds,4.1363,96.1285,Kost Pria
40,Smithers,CA,75.52,scattered clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
41,Camalu,MX,73.99,clear sky,30.85,-116.0667,La Cueva del Pirata
42,Siddapur,IN,69.75,overcast clouds,14.3333,74.8833,Ibbani Homestay
45,Hellin,ES,86.92,broken clouds,38.5106,-1.701,Hotel Restaurante Reina Victoria
46,Port Alfred,ZA,52.18,clear sky,-33.5906,26.891,The Halyards Hotel
47,Kaitangata,NZ,45.59,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
48,Nikolskoye,RU,58.91,broken clouds,59.7035,30.7861,Tourist House - Sablino
49,Longyearbyen,SJ,48.04,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
51,Hirara,JP,84.06,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
52,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
53,Sitka,US,57.09,light intensity drizzle,57.0531,-135.33,Westmark Sitka
54,Nemuro,JP,64.44,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
55,Penzance,GB,59.68,broken clouds,50.1186,-5.5371,Artist Residence Penzance
56,Viedma,AR,47.64,overcast clouds,-40.8135,-62.9967,Hotel Cristal
57,Qaanaaq,GL,43.7,clear sky,77.484,-69.3632,Qaanaaq Hotel
58,Flinders,AU,58.37,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
59,Lebu,CL,53.51,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
60,Chiang Khong,TH,72.1,scattered clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
61,Tuktoyaktuk,CA,59.0,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
62,Sisimiut,GL,44.4,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
