City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Elizabeth,ZA,-33.918,25.5701,57.49,76,0,17.27,clear sky
1,Albany,US,42.6001,-73.9662,80.58,58,27,10.45,scattered clouds
2,Hobart,AU,-42.8794,147.3294,52.27,95,75,0.0,broken clouds
3,Hithadhoo,MV,-0.6,73.0833,81.95,74,14,8.93,few clouds
4,Faanui,PF,-16.4833,-151.75,76.23,81,33,9.69,moderate rain
5,Gaya,IN,24.7833,85.0,81.97,76,89,7.78,overcast clouds
6,Acarau,BR,-2.8856,-40.12,78.4,76,50,16.58,scattered clouds
7,Cape Town,ZA,-33.9258,18.4232,59.38,72,0,5.01,clear sky
8,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,83,0,13.8,clear sky
9,Kodiak,US,57.79,-152.4072,57.79,71,98,1.57,overcast clouds
10,Bengkulu,ID,-3.8004,102.2655,72.64,85,100,3.51,light rain
11,Rikitea,PF,-23.1203,-134.9692,75.7,72,68,15.66,broken clouds
12,Sao Felix Do Xingu,BR,-6.6447,-51.995,80.33,42,36,0.65,scattered clouds
13,Punta Arenas,CL,-53.15,-70.9167,35.71,60,0,13.8,clear sky
14,Morehead,US,37.2711,-87.1764,85.98,77,40,4.61,scattered clouds
15,Ushuaia,AR,-54.8,-68.3,33.46,86,40,28.77,light snow
16,Gilgit,PK,35.9221,74.3087,80.51,68,52,3.67,broken clouds
17,Tiksi,RU,71.6872,128.8694,50.29,83,48,2.17,scattered clouds
18,Huanren,CN,41.2647,125.3667,72.77,93,56,2.1,broken clouds
19,Clyde River,CA,70.4692,-68.5914,43.03,87,75,3.44,broken clouds
20,Gambela,ET,8.25,34.5833,71.35,83,100,4.63,light rain
21,Oranjestad,AW,12.524,-70.027,84.15,70,20,24.16,few clouds
22,Baiyin,CN,36.5583,104.2081,70.3,41,26,30.18,scattered clouds
23,Itarema,BR,-2.9248,-39.9167,78.4,75,55,15.97,broken clouds
24,Ridgecrest,US,35.6225,-117.6709,101.01,16,40,19.57,scattered clouds
25,Tasiilaq,GL,65.6145,-37.6368,39.38,90,100,3.24,overcast clouds
26,Ballina,AU,-28.8667,153.5667,62.02,84,1,6.08,clear sky
27,Kapaa,US,22.0752,-159.319,81.19,73,9,5.99,clear sky
28,Chokurdakh,RU,70.6333,147.9167,56.39,44,100,14.29,overcast clouds
29,Hermanus,ZA,-34.4187,19.2345,50.81,58,0,8.48,clear sky
30,Nandyal,IN,15.4833,78.4833,76.62,86,100,9.06,overcast clouds
31,Adrar,MR,20.5022,-10.0711,94.19,26,58,5.64,broken clouds
32,Slave Lake,CA,55.2834,-114.769,69.78,60,100,6.91,overcast clouds
33,Bemidji,US,47.4736,-94.8803,77.05,44,0,9.22,clear sky
34,Te Anau,NZ,-45.4167,167.7167,40.21,98,100,1.99,overcast clouds
35,Kruisfontein,ZA,-34.0033,24.7314,52.88,79,0,5.88,clear sky
36,Sola,VU,-13.8833,167.55,80.22,78,5,10.94,clear sky
37,Kenai,US,60.5544,-151.2583,59.09,83,100,23.02,overcast clouds
38,Rawlins,US,41.7911,-107.2387,85.35,12,79,16.22,broken clouds
39,Meulaboh,ID,4.1363,96.1285,73.45,97,100,2.39,overcast clouds
40,Smithers,CA,54.7804,-127.1743,75.52,53,40,8.05,scattered clouds
41,Camalu,MX,30.85,-116.0667,73.99,67,5,9.98,clear sky
42,Siddapur,IN,14.3333,74.8833,69.75,95,100,3.78,overcast clouds
43,Srednekolymsk,RU,67.45,153.6833,56.57,41,93,12.75,overcast clouds
44,Novikovo,RU,51.1537,37.8879,64.17,91,100,4.97,overcast clouds
45,Hellin,ES,38.5106,-1.701,86.92,17,51,5.21,broken clouds
46,Port Alfred,ZA,-33.5906,26.891,52.18,82,0,1.01,clear sky
47,Kaitangata,NZ,-46.2817,169.8464,45.59,93,100,17.4,overcast clouds
48,Nikolskoye,RU,59.7035,30.7861,58.91,93,70,2.91,broken clouds
49,Longyearbyen,SJ,78.2186,15.6401,48.04,81,75,13.8,broken clouds
50,Vagay,RU,57.9375,69.0217,62.83,97,97,3.94,light rain
51,Hirara,JP,24.8,125.2833,84.06,89,20,0.0,few clouds
52,Vaini,TO,-21.2,-175.2,78.96,83,20,8.05,few clouds
53,Sitka,US,57.0531,-135.33,57.09,88,100,3.44,light intensity drizzle
54,Nemuro,JP,43.3236,145.575,64.44,86,4,3.49,clear sky
55,Penzance,GB,50.1186,-5.5371,59.68,68,74,11.27,broken clouds
56,Viedma,AR,-40.8135,-62.9967,47.64,91,100,10.94,overcast clouds
57,Qaanaaq,GL,77.484,-69.3632,43.7,68,2,1.41,clear sky
58,Flinders,AU,-34.5833,150.8552,58.37,91,89,4.0,light rain
59,Lebu,CL,-37.6167,-73.65,53.51,85,90,24.16,overcast clouds
60,Chiang Khong,TH,20.2613,100.4046,72.1,99,32,0.29,scattered clouds
61,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,77,40,16.11,scattered clouds
62,Sisimiut,GL,66.9395,-53.6735,44.4,84,99,10.69,overcast clouds
63,Abu Zabad,SD,12.35,29.25,79.12,61,84,8.3,broken clouds
64,Dikson,RU,73.5069,80.5464,42.51,97,99,20.33,light rain
65,Busselton,AU,-33.65,115.3333,61.09,80,90,20.07,light rain
66,Hilo,US,19.7297,-155.09,90.28,73,75,9.22,broken clouds
67,Oussouye,SN,12.485,-16.5469,77.18,89,100,6.49,overcast clouds
68,Bluff,NZ,-46.6,168.3333,45.81,90,100,26.96,overcast clouds
69,Geraldton,AU,-28.7667,114.6,43.21,81,7,13.8,clear sky
70,San Andres,CO,12.5847,-81.7006,84.22,74,75,4.61,broken clouds
71,East London,ZA,-33.0153,27.9116,55.58,69,0,11.72,clear sky
72,Okhotsk,RU,59.3833,143.3,60.57,76,44,5.41,scattered clouds
73,Basco,PH,20.4487,121.9702,85.42,76,26,9.22,scattered clouds
74,Raudeberg,NO,61.9875,5.1352,56.95,83,97,21.54,overcast clouds
75,Godda,IN,24.8333,87.2167,79.66,82,93,5.53,overcast clouds
76,Kingston Upon Hull,GB,53.7446,-0.3353,57.96,52,100,8.05,overcast clouds
77,Nanortalik,GL,60.1432,-45.2371,41.97,97,100,5.55,light rain
78,Rakiv Lis,UA,51.6217,24.9243,58.66,82,4,5.66,clear sky
79,Rocha,UY,-34.4833,-54.3333,58.84,98,98,8.99,overcast clouds
80,Dingle,PH,10.9995,122.6711,78.35,88,90,1.97,overcast clouds
81,Saskylakh,RU,71.9167,114.0833,70.79,65,82,6.62,broken clouds
82,Thompson,CA,55.7435,-97.8558,60.96,94,100,8.05,mist
83,San Patricio,US,28.017,-97.5169,95.72,50,5,17.83,clear sky
84,Kangaatsiaq,GL,68.3065,-53.4641,39.2,96,100,8.99,overcast clouds
85,Strezhevoy,RU,60.7333,77.5889,55.67,97,77,4.21,broken clouds
86,Bethel,US,41.3712,-73.414,84.85,80,75,16.11,broken clouds
87,Lagos,NG,6.5833,3.75,75.2,91,100,6.08,overcast clouds
88,Provideniya,RU,64.3833,-173.3,50.11,66,75,15.66,broken clouds
89,Georgetown,MY,5.4112,100.3354,78.73,93,20,3.44,few clouds
90,Deputatskiy,RU,69.3,139.9,58.51,55,100,4.34,overcast clouds
91,San Quintin,MX,30.4833,-115.95,72.82,69,2,10.45,clear sky
92,Camana,PE,-16.6228,-72.7111,61.11,83,31,6.38,scattered clouds
93,Porto Murtinho,BR,-21.6989,-57.8825,81.54,30,2,5.48,clear sky
94,Torbay,CA,47.6666,-52.7314,72.37,87,75,25.32,broken clouds
95,Jamestown,US,42.097,-79.2353,71.94,54,0,13.8,clear sky
96,Victoria,HK,22.2855,114.1577,89.19,79,85,10.0,overcast clouds
97,Tagusao,PH,9.1924,117.8141,80.01,81,99,4.18,overcast clouds
98,Ahipara,NZ,-35.1667,173.1667,56.46,87,81,22.75,broken clouds
99,Morgan City,US,29.6994,-91.2068,85.01,67,89,8.61,overcast clouds
100,Souillac,MU,-20.5167,57.5167,68.38,88,40,9.22,scattered clouds
